sku,name,inv,ean,erli_pln,bl_retail_pln,multistore_pln,erli_vs_bl_pct,erli_vs_multistore_pct,flags,stock
4613,Składany parawan ogrodowy pokojowy 3-panelowy 167x164 cm szary MultiGarden,MultiStore,5905817005437,111.0,111.0,111.0,100%,100%,LOSS,0
4614,Składany parawan ogrodowy pokojowy 3-panelowy 167x164 cm beżowy MultiGarden,MultiStore,5905817005444,105.0,105.0,105.0,100%,100%,LOSS,0
4618,Osłona balkonowa z okuciami 100x700 cm siatka cieniująca + elementy instalacyjne,MultiStore,5905817005345,49.0,49.0,49.0,100%,100%,LOSS,0
4637,Basen dmuchany brodzik dla dzieci wyspa daszek INTEX 58417,MultiStore,6941057422633,79.0,79.0,79.0,100%,100%,LOSS,0
4649,Namiot pawilon ogrodowy 3x3 m rozkładany automatycznie daszek do ogrodu na taras,MultiStore,5905817005734,220.0,220.0,220.0,100%,100%,LOSS,0
4650,Namiot pawilon ogrodowy 3x3 m rozkładany automatycznie daszek do ogrodu na taras,MultiStore,5905817005710,220.0,220.0,220.0,100%,100%,LOSS,0
4651,Namiot pawilon ogrodowy handlowy 2x2x2 m z moskitierą biały MultiGarden,MultiStore,5905817005659,220.0,220.0,220.0,100%,100%,LOSS,0
4652,Namiot pawilon ogrodowy handlowy 2x2x2 m z moskitierą szary MultiGarden,MultiStore,5905817005666,220.0,220.0,220.0,100%,100%,LOSS,0
4654,Domek dla lalek Alice 3 piętra 4 pomieszczenia komplet 9 mebelków ECOTOYS,MultiStore,5905817006335,150.0,150.0,150.0,100%,100%,LOSS,237
4655,Namiot plażowy parawan samorozkładający na plażę basen ogród MultiGarden,MultiStore,5905817006960,50.0,50.0,50.0,100%,100%,LOSS,0
4659,NAMIOT TURYSTYCZNY 4-OSOBOWY ZIELONY GARDENSTEIN LARSEN 1500 MM,Kathay,5905817006984,199.0,199.0,199.0,100%,100%,LOSS,252
4660,Nowoczesny wentylator stojący bezłopatkowy podłogowy 60W 3 tryby pracy pilot tim,MultiStore,5904265080768,139.0,139.0,139.0,100%,100%,LOSS,0
4661,Wentylator podłogowy wiatrak stojący 45W 3 tryby pracy 5 łopatek timer pilot,MultiStore,5904265080713,77.0,77.0,77.0,100%,100%,LOSS,0
4662,NAMIOT OGRODOWY ROZKŁADANY Z DASZKIEM 300 X 300 CM GARDENSTEIN BREKKE,Kathay,5905817005727,230.0,230.0,230.0,100%,100%,LOSS,6
4664,NAMIOT OGRODOWY STALOWY BIAŁY 200 X 200 X 200 CM GARDENSTEIN STIGEN,Kathay,5905817005703,210.0,210.0,210.0,100%,100%,LOSS,17
4665,Namiot pawilon ogrodowy handlowy 2x2x2 m z oknami szary MultiGarden,MultiStore,5905817005697,210.0,210.0,210.0,100%,100%,LOSS,0
4666,POKROWIEC NA STÓŁ CATERINGOWY BIAŁY 240 X 76 X 74 CM GARDENSTEIN TORVEN,Kathay,5905817006816,39.0,39.0,39.0,100%,100%,LOSS,138
4667,Wentylator podłogowy wiatrak stojący 45W 3 tryby pracy 5 łopatek timer pilot,MultiStore,5904265080683,77.0,77.0,77.0,100%,100%,LOSS,0
4669,Wentylator podłogowy wiatrak stojący 45W 3 tryby pracy 5 łopatek biały,MultiStore,5904265080720,65.0,65.0,65.0,100%,100%,LOSS,0
4670,Wentylator podłogowy wiatrak stojący 45W 3 tryby pracy 5 łopatek czarny,MultiStore,5904265080676,65.0,65.0,65.0,100%,100%,LOSS,0
4678,Poziomica laserowa płaszczyznowa zielony laser krzyżowy 360° 4D 16 linii,MultiStore,5904265080478,199.0,199.0,199.0,100%,100%,LOSS,0
4679,Zestaw narzędzi walizka narzędziowa 111 elementów klucze wkrętaki bity,MultiStore,5904265080737,125.0,125.0,125.0,100%,100%,LOSS,138
4680,Zestaw narzędzi walizka narzędziowa 140 elementów klucze wkrętaki bity,MultiStore,5904265080751,149.0,149.0,149.0,100%,100%,LOSS,266
4681,Zestaw narzędzi walizka narzędziowa 58 elementów klucze wkrętaki szczypce,MultiStore,5904265080782,175.0,175.0,175.0,100%,100%,LOSS,301
4682,Duży zestaw narzędzi walizka narzędziowa na kółkach 189 elementów klucze wkrętak,MultiStore,5904265080775,309.0,309.0,309.0,100%,100%,LOSS,137
4685,Kojec modułowy zagroda dla małych zwierząt gryzoni chomika świnki morskiej 2 poz,MultiStore,5903332086757,181.0,181.0,181.0,100%,100%,LOSS,0
4686,Kojec modułowy zagroda dla małych zwierząt gryzoni chomika świnki morskiej czarn,MultiStore,5903332078516,85.0,85.0,85.0,100%,100%,LOSS,352
4690,Stołek barowy okrągły 2 sztuki 65 cm hoker kuchenny wysokie krzesło z podnóżkiem,MultiStore,5903332086634,199.0,199.0,199.0,100%,100%,LOSS,0
